Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Rhycero,France,Banking and Finance,Small,Sarah Davis,2/7/2024,Custom solution,Customer,6,,,480,50,11/7/2024,3/6/2024
Quimba,Portugal,Banking and Finance,Small,Jessica Martinez,3/29/2024,Services,Customer,6,,,1055,90,1/1/2025,7/8/2024
Edgeblab,Belgium,Agriculture & Mining,Small,Laura Thompson,1/26/2024,Services,Customer,6,,,919,60,4/20/2024,3/22/2024
Twitternation,Austria,Government Administration Healthcare,Small,Jessica Martinez,1/9/2024,SAAS,Customer,6,,,1130,50,10/15/2024,3/12/2024
"Hoeger, Flatley and Anderson",Germany,Transportation & Logistics,Small,Michael Brown,4/20/2024,SAAS,Customer,6,,,1936,40,2/21/2025,6/14/2024
"Hermiston, Ziemann and Howell",Italy,Banking and Finance,Small,Laura Thompson,2/5/2024,Services,Customer,6,,,1643,30,8/12/2024,5/30/2024
"Monahan, Ondricka and Nienow",Portugal,Banking and Finance,Small,John Smith,5/8/2024,SAAS,Customer,6,,,1023,20,1/24/2025,5/30/2024
"Kovacek, Hermiston and McCullough",Netherlands,IT & IT Services,Small,John Smith,4/27/2024,SAAS,Customer,6,,,1086,30,7/22/2024,6/12/2024
Macejkovic LLC,Italy,Transportation & Logistics,Small,Laura Thompson,2/26/2024,SAAS,Customer,6,,,710,40,8/18/2024,5/29/2024
Keeling-Sauer,Portugal,Retail & Distribution,Small,Emily Johnson,2/17/2024,Services,Customer,6,,,1986,50,7/17/2024,3/8/2024
Berge Group,Portugal,Banking and Finance,Small,Laura Thompson,1/22/2024,Services,Customer,6,,,765,50,7/12/2024,4/7/2024
Jenkins-Turcotte,France,Professional Services  & Consulting,Small,Laura Thompson,3/18/2024,Services,Customer,6,,,1071,30,6/3/2024,5/25/2024
Kutch LLC,France,Banking and Finance,Small,Jessica Martinez,2/20/2024,SAAS,Customer,6,,,1189,20,5/6/2024,4/12/2024
Durgan-Little,France,Telecommunications,Small,Laura Thompson,3/5/2024,SAAS,Customer,6,,,387,40,5/23/2024,6/17/2024
Hilpert-Wyman,Austria,Manufacturing & Production,Small,John Smith,3/29/2024,Services,Customer,6,,,404,70,5/30/2024,6/10/2024
Stiedemann-Roob,Italy,Retail & Distribution,Small,Jessica Martinez,4/22/2024,SAAS,Customer,6,,,789,50,9/3/2024,6/8/2024
"Reichel, Runolfsdottir and Stoltenberg",Italy,Transportation & Logistics,Small,Emily Johnson,2/26/2024,Services,Customer,6,,,371,40,8/10/2024,5/9/2024
"Terry, Jenkins and Baumbach",Netherlands,IT & IT Services,Small,Kevin Anderson,5/13/2024,SAAS,Customer,6,,,202,50,10/10/2024,8/25/2024
Runolfsdottir-O'Conner,Italy,Professional Services  & Consulting,Small,Michael Brown,5/12/2024,Custom solution,Customer,6,,,951,30,9/13/2024,5/21/2024
Kutch Group,France,Construction & Engineering,Small,Jessica Martinez,4/16/2024,Services,Customer,6,,,633,30,7/28/2024,5/29/2024
"Corwin, Abbott and Robel",Austria,Professional Services  & Consulting,Small,Kevin Anderson,4/20/2024,SAAS,Customer,6,,,971,90,7/13/2024,6/6/2024
"Ward, Kuhic and Torp",Switzerland,Energy & Utilities,Small,John Smith,2/21/2024,SAAS,Customer,6,,,1676,10,11/18/2024,6/2/2024
Beier-Lang,France,IT & IT Services,Small,Jessica Martinez,4/16/2024,SAAS,Customer,6,,,809,30,6/22/2024,7/28/2024
"Auer, Hackett and Bruen",Austria,Agriculture & Mining,Small,Michael Brown,2/28/2024,Custom solution,Customer,6,,,304,90,6/24/2024,5/5/2024
"Buckridge, Brekke and Daniel",Belgium,Manufacturing & Production,Small,Jessica Martinez,4/12/2024,SAAS,Customer,6,,,1584,40,5/6/2024,6/22/2024
Fay Inc,France,Education & Science,Small,Kevin Anderson,5/22/2024,Custom solution,Customer,6,,,894,30,2/19/2025,8/11/2024
"Braun, Goldner and Durgan",France,Recreation & Sports,Small,Sarah Davis,4/17/2024,SAAS,Customer,6,,,1067,30,3/23/2025,4/22/2024
Gibson-Hettinger,Netherlands,Professional Services  & Consulting,Small,Laura Thompson,1/31/2024,Services,Customer,6,,,1313,40,6/30/2024,2/21/2024
"Gutmann, Kunze and Schaden",Belgium,Transportation & Logistics,Small,Sarah Davis,1/19/2024,Services,Customer,6,,,1219,30,4/5/2024,2/27/2024
Schamberger-Dicki,Switzerland,IT & IT Services,Small,Laura Thompson,3/6/2024,Services,Customer,6,,,1363,30,5/11/2024,3/21/2024
Harvey Inc,Netherlands,IT & IT Services,Small,David Wilson,1/10/2024,Custom solution,Customer,6,,,1693,80,10/31/2024,1/10/2024
"Bins, Lakin and Daugherty",Italy,Retail & Distribution,Small,Sarah Davis,1/4/2024,SAAS,Customer,6,,,844,70,12/18/2024,2/19/2024
"Reynolds, Bogisich and Block",Spain,Entertainment & Media & Hospitality,Small,Emily Johnson,5/23/2024,Custom solution,Customer,6,,,1336,80,1/13/2025,8/12/2024
"Auer, Schmeler and Morissette",Switzerland,Transportation & Logistics,Small,Emily Johnson,3/11/2024,Services,Customer,6,,,267,90,4/6/2024,3/30/2024
Hegmann Group,Portugal,Energy & Utilities,Small,Laura Thompson,1/11/2024,Custom solution,Customer,6,,,559,40,11/23/2024,5/1/2024
Will-Stamm,Netherlands,IT & IT Services,Small,Jessica Martinez,3/26/2024,Custom solution,Customer,6,,,1204,20,6/11/2024,6/19/2024
Goldner-Weimann,France,Banking and Finance,Small,Laura Thompson,2/21/2024,Services,Customer,6,,,1938,20,2/12/2025,3/17/2024
Hodkiewicz-Howe,Italy,Transportation & Logistics,Small,Michael Brown,4/25/2024,SAAS,Customer,6,,,985,40,2/28/2025,8/21/2024
Keeling Inc,France,Telecommunications,Small,Michael Brown,2/7/2024,Services,Customer,6,,,1787,60,8/18/2024,5/16/2024
Harris Inc,Portugal,Transportation & Logistics,Small,Michael Brown,3/23/2024,SAAS,Customer,6,,,1949,50,3/17/2025,5/9/2024
Roberts and Sons,Belgium,Recreation & Sports,Small,Kevin Anderson,1/19/2024,Services,Customer,6,,,1964,70,10/8/2024,3/3/2024
Hauck-Beahan,Italy,Construction & Engineering,Small,Laura Thompson,4/3/2024,Services,Customer,6,,,825,50,9/3/2024,8/1/2024
"Ryan, Toy and O'Reilly",France,Banking and Finance,Small,Laura Thompson,5/28/2024,SAAS,Customer,6,,,559,90,3/23/2025,8/2/2024
Orn Inc,Germany,Telecommunications,Small,Michael Brown,2/3/2024,Services,Customer,6,,,1905,30,7/29/2024,6/2/2024
Kuhlman Inc,France,Professional Services  & Consulting,Small,John Smith,3/14/2024,SAAS,Customer,6,,,1472,30,4/18/2024,7/1/2024
"Von, Becker and Fisher",Netherlands,Government Administration Healthcare,Small,Michael Brown,1/10/2024,SAAS,Customer,6,,,623,30,10/25/2024,3/1/2024
"Mertz, Casper and Klein",Belgium,IT & IT Services,Small,Michael Brown,3/16/2024,Services,Customer,6,,,555,50,2/20/2025,6/5/2024
"Botsford, King and Steuber",Austria,IT & IT Services,Small,Laura Thompson,5/4/2024,SAAS,Customer,6,,,1662,40,9/30/2024,7/11/2024
Funk-Hane,France,Telecommunications,Small,Jessica Martinez,4/9/2024,Services,Customer,6,,,928,20,1/30/2025,7/14/2024
Hartmann-Pollich,Spain,Transportation & Logistics,Small,David Wilson,4/11/2024,Services,Customer,6,,,901,10,2/4/2025,6/8/2024
Frami-Gusikowski,Germany,Government Administration Healthcare,Small,Laura Thompson,3/20/2024,SAAS,Customer,6,,,954,70,6/8/2024,7/9/2024
Lueilwitz Inc,France,Entertainment & Media & Hospitality,Small,Emily Johnson,2/8/2024,SAAS,Customer,6,,,1328,40,3/7/2024,4/1/2024
Kreiger-Rice,Belgium,Transportation & Logistics,Small,Michael Brown,2/10/2024,SAAS,Customer,6,,,1707,100,11/22/2024,4/26/2024
Blick Inc,Switzerland,IT & IT Services,Small,John Smith,1/7/2024,SAAS,Customer,6,,,513,90,3/13/2024,3/23/2024
Bauch-Morar,France,Professional Services  & Consulting,Small,Laura Thompson,5/8/2024,Custom solution,Customer,6,,,1563,20,8/5/2024,6/5/2024
"Auer, Deckow and Torp",Portugal,Professional Services  & Consulting,Small,Jessica Martinez,2/29/2024,SAAS,Customer,6,,,1898,40,10/24/2024,5/4/2024
Kuvalis-Strosin,Germany,Transportation & Logistics,Small,Michael Brown,3/25/2024,Custom solution,Customer,6,,,480,40,4/23/2024,6/4/2024
Hintz-Fadel,Belgium,Transportation & Logistics,Small,Jessica Martinez,2/22/2024,SAAS,Customer,6,,,563,40,2/15/2025,5/11/2024
Kiehn-Bernier,Portugal,Banking and Finance,Small,Laura Thompson,1/7/2024,Custom solution,Customer,6,,,583,60,11/24/2024,3/20/2024
Zooxo,Switzerland,IT & IT Services,Micro,Sarah Davis,2/14/2024,Services,Customer,6,,,974,100,1/22/2025,5/20/2024
Jetpulse,Germany,IT & IT Services,Micro,John Smith,4/18/2024,SAAS,Customer,6,,,595,20,1/26/2025,5/19/2024
InnoZ,Italy,Transportation & Logistics,Micro,Emily Johnson,1/20/2024,SAAS,Customer,6,,,283,20,11/1/2024,4/20/2024
Chatterpoint,Switzerland,Manufacturing & Production,Micro,Michael Brown,3/10/2024,SAAS,Customer,6,,,545,30,6/1/2024,5/30/2024
Trunyx,Spain,Transportation & Logistics,Micro,David Wilson,2/24/2024,Services,Customer,6,,,1024,30,8/30/2024,4/2/2024
"Luettgen, Franecki and Roberts",Portugal,Government Administration Healthcare,Micro,Jessica Martinez,2/10/2024,SAAS,Customer,6,,,308,40,11/14/2024,6/2/2024
"Kilback, Cremin and Bergnaum",Belgium,Banking and Finance,Micro,Laura Thompson,5/23/2024,Services,Customer,6,,,828,60,9/18/2024,7/3/2024
Toy-O'Hara,Italy,Professional Services  & Consulting,Micro,John Smith,1/16/2024,SAAS,Customer,6,,,809,20,9/10/2024,3/28/2024
"Lubowitz, Herman and Fisher",Italy,Transportation & Logistics,Micro,Laura Thompson,4/22/2024,SAAS,Customer,6,,,535,20,11/19/2024,6/19/2024
"Schulist, Bailey and Dickens",Portugal,Transportation & Logistics,Micro,Kevin Anderson,4/3/2024,SAAS,Customer,6,,,1129,20,4/24/2024,7/28/2024
Jakubowski-Purdy,Spain,Professional Services  & Consulting,Micro,Michael Brown,4/4/2024,SAAS,Customer,6,,,1116,100,5/19/2024,6/19/2024
Hackett LLC,Austria,Transportation & Logistics,Micro,Michael Brown,4/2/2024,Services,Customer,6,,,1039,80,10/18/2024,4/9/2024
Gottlieb Group,Netherlands,Retail & Distribution,Micro,Jessica Martinez,1/31/2024,SAAS,Customer,6,,,674,30,4/13/2024,1/31/2024
Hermiston-Hyatt,Switzerland,Agriculture & Mining,Micro,Sarah Davis,5/18/2024,Custom solution,Customer,6,,,1017,20,9/24/2024,7/3/2024
Goldner LLC,Portugal,Education & Science,Micro,Laura Thompson,4/8/2024,SAAS,Customer,6,,,824,20,9/16/2024,5/15/2024
"Deckow, Dicki and Pagac",Spain,Professional Services  & Consulting,Micro,David Wilson,2/24/2024,Services,Customer,6,,,302,40,5/9/2024,4/15/2024
Kuphal-Wuckert,Belgium,Transportation & Logistics,Micro,Michael Brown,5/2/2024,SAAS,Customer,6,,,1076,40,6/12/2024,5/31/2024
Yundt-McLaughlin,Austria,Professional Services  & Consulting,Micro,Laura Thompson,4/17/2024,SAAS,Customer,6,,,724,60,3/1/2025,5/13/2024
"D'Amore, Auer and Wilkinson",Italy,Manufacturing & Production,Micro,Laura Thompson,1/11/2024,Services,Customer,6,,,406,10,4/24/2024,3/6/2024
Fahey-Kulas,Italy,IT & IT Services,Micro,Sarah Davis,1/29/2024,Services,Customer,6,,,622,10,11/26/2024,3/9/2024
"Osinski, Langworth and Auer",Switzerland,Agriculture & Mining,Micro,Michael Brown,5/22/2024,SAAS,Customer,6,,,717,30,5/8/2025,7/20/2024
"Hane, Hettinger and Denesik",Netherlands,Transportation & Logistics,Micro,Laura Thompson,3/17/2024,Custom solution,Customer,6,,,1081,80,4/29/2024,4/14/2024
Rohan Inc,Portugal,IT & IT Services,Micro,Laura Thompson,5/4/2024,SAAS,Customer,6,,,1127,80,6/22/2024,6/25/2024
"Koelpin, Bahringer and Beatty",Netherlands,Education & Science,Micro,Laura Thompson,5/8/2024,Services,Customer,6,,,667,60,2/3/2025,6/3/2024
Flatley-Metz,Germany,Transportation & Logistics,Micro,Kevin Anderson,5/20/2024,Services,Customer,6,,,541,30,1/14/2025,6/10/2024
Reilly-Dicki,Italy,IT & IT Services,Micro,John Smith,1/19/2024,SAAS,Customer,6,,,988,60,6/15/2024,4/4/2024
"Pagac, Marvin and Wilkinson",France,Entertainment & Media & Hospitality,Micro,Laura Thompson,1/25/2024,Services,Customer,6,,,659,40,11/11/2024,3/8/2024
Stanton-Adams,Italy,Banking and Finance,Micro,Emily Johnson,2/19/2024,Custom solution,Customer,6,,,214,30,10/5/2024,3/12/2024
"Ward, Rau and Ledner",Belgium,Agriculture & Mining,Micro,Laura Thompson,1/27/2024,SAAS,Customer,6,,,248,30,1/13/2025,4/2/2024
Thiel-Ullrich,Austria,Recreation & Sports,Micro,Laura Thompson,3/13/2024,Services,Customer,6,,,609,30,5/24/2024,6/24/2024
Johnson-Macejkovic,Italy,Transportation & Logistics,Micro,John Smith,4/22/2024,Services,Customer,6,,,651,20,8/8/2024,6/6/2024
Koch-Lakin,Italy,Transportation & Logistics,Micro,Laura Thompson,3/29/2024,SAAS,Customer,6,,,341,60,7/21/2024,6/23/2024
Bauch-Fritsch,Belgium,Professional Services  & Consulting,Micro,Laura Thompson,5/18/2024,SAAS,Customer,6,,,1140,20,5/5/2025,8/15/2024
"Kihn, Swaniawski and Lebsack",Portugal,Manufacturing & Production,Micro,David Wilson,2/2/2024,SAAS,Customer,6,,,801,40,5/7/2024,4/14/2024
Barrows LLC,Netherlands,IT & IT Services,Micro,Kevin Anderson,5/17/2024,Services,Customer,6,,,200,20,7/12/2024,8/12/2024
"Langworth, Lemke and Carroll",Italy,Government Administration Healthcare,Micro,Sarah Davis,2/21/2024,Services,Customer,6,,,1048,80,10/12/2024,5/25/2024
"Kilback, Johns and Dicki",Portugal,Recreation & Sports,Micro,Laura Thompson,2/5/2024,Services,Customer,6,,,1130,40,3/25/2024,2/22/2024
"Labadie, Sawayn and Ruecker",Italy,Transportation & Logistics,Micro,Kevin Anderson,4/2/2024,SAAS,Customer,6,,,237,50,11/3/2024,5/21/2024
Kazio,Portugal,IT & IT Services,Medium,Kevin Anderson,2/25/2024,SAAS,Customer,6,,,947,30,8/17/2024,3/1/2024
Jayo,Italy,Transportation & Logistics,Medium,Emily Johnson,2/16/2024,SAAS,Customer,6,,,562,40,11/28/2024,3/31/2024
Feedspan,Germany,Banking and Finance,Medium,Kevin Anderson,1/20/2024,Services,Customer,6,,,3729,40,4/4/2024,4/19/2024
Browsecat,Austria,IT & IT Services,Medium,Jessica Martinez,3/6/2024,Services,Customer,6,,,762,20,9/2/2024,6/1/2024
Layo,Portugal,Transportation & Logistics,Medium,Jessica Martinez,1/10/2024,Custom solution,Customer,6,,,350,30,8/19/2024,5/3/2024
Photospace,Switzerland,Retail & Distribution,Medium,David Wilson,2/28/2024,SAAS,Customer,6,,,3350,10,7/25/2024,5/27/2024
Zoovu,Italy,Energy & Utilities,Medium,Jessica Martinez,2/18/2024,SAAS,Customer,6,,,3290,30,1/16/2025,3/11/2024
Topicblab,Italy,Manufacturing & Production,Medium,Laura Thompson,4/11/2024,Services,Customer,6,,,4608,50,5/1/2024,6/16/2024
Kwinu,Italy,Entertainment & Media & Hospitality,Medium,Sarah Davis,3/11/2024,Custom solution,Customer,6,,,6457,20,1/5/2025,6/30/2024
Block Group,Spain,Banking and Finance,Medium,Jessica Martinez,5/17/2024,Services,Customer,6,,,5322,100,4/23/2025,8/27/2024
Cummings-Johnson,Italy,Transportation & Logistics,Medium,Kevin Anderson,3/5/2024,Services,Customer,6,,,7996,60,10/22/2024,4/25/2024
"Bosco, Greenholt and Langworth",Belgium,Banking and Finance,Medium,Laura Thompson,2/8/2024,Services,Customer,6,,,4561,10,10/21/2024,5/21/2024
Lind-Bogisich,Switzerland,Transportation & Logistics,Medium,David Wilson,3/16/2024,Custom solution,Customer,6,,,6800,30,12/2/2024,6/20/2024
"Luettgen, Kozey and Dach",France,Telecommunications,Medium,Michael Brown,1/25/2024,Services,Customer,6,,,6490,30,10/27/2024,3/24/2024
Mante LLC,Belgium,Transportation & Logistics,Medium,Kevin Anderson,3/16/2024,Services,Customer,6,,,6698,60,7/22/2024,4/4/2024
Considine LLC,Italy,Professional Services  & Consulting,Medium,Laura Thompson,2/27/2024,SAAS,Customer,6,,,6609,30,9/26/2024,3/8/2024
Steuber Group,Italy,Manufacturing & Production,Medium,Laura Thompson,4/17/2024,Services,Customer,6,,,2507,10,10/12/2024,6/3/2024
Goyette-Reynolds,France,Manufacturing & Production,Medium,Laura Thompson,2/24/2024,Custom solution,Customer,6,,,6240,20,4/4/2024,4/11/2024
Lowe and Sons,Switzerland,IT & IT Services,Medium,Kevin Anderson,4/1/2024,SAAS,Customer,6,,,6336,20,6/20/2024,6/8/2024
Williamson and Sons,Italy,Banking and Finance,Medium,Sarah Davis,2/6/2024,Custom solution,Customer,6,,,7930,20,8/6/2024,5/17/2024
Waelchi LLC,Switzerland,Banking and Finance,Medium,Emily Johnson,4/11/2024,SAAS,Customer,6,,,2707,30,3/18/2025,4/17/2024
"Ebert, Hegmann and Thiel",Spain,Manufacturing & Production,Medium,Michael Brown,1/11/2024,SAAS,Customer,6,,,1865,40,4/4/2024,4/3/2024
"Wolf, Vandervort and Von",Portugal,Transportation & Logistics,Medium,Kevin Anderson,1/11/2024,Services,Customer,6,,,209,50,6/15/2024,5/9/2024
Mohr-Gleichner,Portugal,Entertainment & Media & Hospitality,Medium,David Wilson,3/3/2024,SAAS,Customer,6,,,212,20,10/22/2024,3/23/2024
"Yost, Terry and Veum",Portugal,Entertainment & Media & Hospitality,Medium,Jessica Martinez,4/11/2024,SAAS,Customer,6,,,2260,20,2/3/2025,8/2/2024
Hartmann and Sons,Spain,Construction & Engineering,Medium,Jessica Martinez,2/4/2024,SAAS,Customer,6,,,4224,40,1/23/2025,3/19/2024
Cronin-Walker,France,IT & IT Services,Medium,Sarah Davis,3/31/2024,SAAS,Customer,6,,,2344,100,9/3/2024,7/6/2024
Bayer-Okuneva,Germany,Retail & Distribution,Medium,John Smith,2/4/2024,Custom solution,Customer,6,,,5852,60,8/15/2024,5/17/2024
Bernhard Inc,Italy,Retail & Distribution,Medium,Laura Thompson,3/27/2024,Custom solution,Customer,6,,,4156,30,1/18/2025,7/12/2024
"O'Keefe, Witting and Emard",Belgium,Transportation & Logistics,Medium,Kevin Anderson,5/20/2024,SAAS,Customer,6,,,422,20,3/22/2025,8/22/2024
"Windler, Bogan and Osinski",Germany,Energy & Utilities,Medium,Michael Brown,3/10/2024,SAAS,Customer,6,,,2239,80,9/28/2024,4/4/2024
"Champlin, Brown and Miller",Germany,Manufacturing & Production,Medium,Laura Thompson,1/19/2024,Custom solution,Customer,6,,,4156,50,8/3/2024,3/23/2024
Kerluke LLC,Germany,IT & IT Services,Medium,Laura Thompson,2/1/2024,Services,Customer,6,,,1753,40,11/1/2024,2/13/2024
Turner-Tillman,Germany,Entertainment & Media & Hospitality,Medium,Emily Johnson,1/12/2024,Services,Customer,6,,,4132,40,12/7/2024,1/27/2024
"Kunde, Kris and Wunsch",Netherlands,Entertainment & Media & Hospitality,Medium,Michael Brown,5/26/2024,Services,Customer,6,,,7142,30,12/30/2024,6/14/2024
Hegmann and Sons,Netherlands,Agriculture & Mining,Medium,Jessica Martinez,3/10/2024,Services,Customer,6,,,4343,20,6/24/2024,7/3/2024
Strosin LLC,Portugal,Entertainment & Media & Hospitality,Medium,Laura Thompson,3/13/2024,SAAS,Customer,6,,,7463,20,10/27/2024,4/29/2024
"Heathcote, Ernser and Smitham",Portugal,Retail & Distribution,Medium,Laura Thompson,4/24/2024,Custom solution,Customer,6,,,1872,40,10/31/2024,5/12/2024
Konopelski Inc,France,Banking and Finance,Medium,Michael Brown,3/19/2024,SAAS,Customer,6,,,4220,40,1/21/2025,4/12/2024
Kerluke-Kihn,Portugal,Transportation & Logistics,Medium,Laura Thompson,4/29/2024,Services,Customer,6,,,2668,70,12/5/2024,7/7/2024
Barton and Sons,Germany,Government Administration Healthcare,Medium,Laura Thompson,2/12/2024,Services,Customer,6,,,7766,60,8/13/2024,4/9/2024
Nader-Rath,Germany,Retail & Distribution,Medium,Sarah Davis,4/14/2024,Custom solution,Customer,6,,,379,50,10/26/2024,5/29/2024
Hauck-Brekke,Germany,Government Administration Healthcare,Medium,Michael Brown,1/14/2024,Services,Customer,6,,,4188,50,9/28/2024,3/23/2024
Kunze-Upton,Italy,Professional Services  & Consulting,Medium,Michael Brown,2/4/2024,SAAS,Customer,6,,,875,30,12/29/2024,3/25/2024
Dare and Sons,France,Agriculture & Mining,Medium,Kevin Anderson,5/17/2024,Custom solution,Customer,6,,,3220,20,2/3/2025,8/16/2024
Welch-Stehr,Netherlands,Education & Science,Medium,John Smith,3/4/2024,Services,Customer,6,,,6595,40,11/24/2024,6/15/2024
King-Wiza,Italy,Banking and Finance,Medium,Michael Brown,1/31/2024,SAAS,Customer,6,,,7977,100,3/25/2024,5/14/2024
"Maggio, Feeney and Koss",Italy,Telecommunications,Medium,Jessica Martinez,5/3/2024,Services,Customer,6,,,1374,50,12/4/2024,6/13/2024
"Upton, Wilderman and Becker",Portugal,Manufacturing & Production,Medium,Jessica Martinez,2/25/2024,SAAS,Customer,6,,,1932,50,6/9/2024,5/4/2024
Larkin and Sons,Germany,Government Administration Healthcare,Medium,Jessica Martinez,3/12/2024,Custom solution,Customer,6,,,4067,90,1/27/2025,5/28/2024
Johns LLC,France,Manufacturing & Production,Medium,Michael Brown,2/21/2024,Services,Customer,6,,,7596,70,1/28/2025,6/15/2024
Hand-Senger,France,IT & IT Services,Medium,Jessica Martinez,5/14/2024,Services,Customer,6,,,425,60,10/25/2024,6/26/2024
"Terry, Reinger and Graham",France,Education & Science,Medium,Michael Brown,2/12/2024,SAAS,Customer,6,,,6071,10,11/27/2024,3/5/2024
Schaefer-Roob,Netherlands,Professional Services  & Consulting,Medium,Laura Thompson,4/8/2024,Services,Customer,6,,,2584,30,2/7/2025,4/12/2024
"Deckow, Jacobs and Koelpin",Austria,Construction & Engineering,Medium,Kevin Anderson,4/10/2024,Services,Customer,6,,,1589,10,7/15/2024,5/14/2024
